uniqueidentifier,amount,date
bri-3574d6bc-33c2-4406-8d5b-d9278db3f8b6,-946000.00,2024-10-30
bri-7e2ba0ef-b196-41ed-9486-432509d1f003,448000.00,2024-11-03
bri-7f105c3b-9cca-448d-a3db-b87c93f340a4,-822000.00,2024-10-29
bri-b0312ddb-4ffc-46a9-8d2f-ed5c8cf6b57f,952000.00,2024-10-31
bri-2bd7c941-6326-4fcb-a428-641b0670b278,568000.00,2024-10-30
bri-019d027a-88aa-494f-9b68-100d455ed4c9,798000.00,2024-10-29
bri-61e2843c-fd4d-4f61-a261-5c570ad7b17b,-799000.00,2024-11-03
bri-1edd3936-b933-4d85-949b-d02c9ee61204,343000.00,2024-10-30
bri-1feb8163-d5b9-4203-abc4-3098febd4895,787000.00,2024-11-01
bri-536918d7-8956-42fd-a53c-c1a1a72629e1,332000.00,2024-10-28
bri-27f52585-8ce1-444f-830c-830de2b85437,735000.00,2024-10-31
bri-4990157a-e903-4017-9433-205af20eb500,-989000.00,2024-11-03
bri-e66911e6-6230-4bc7-94bb-0b968f807837,948000.00,2024-11-03
bri-01a61509-22e5-4359-b285-6291b98e1afb,113000.00,2024-10-29
bri-b28117eb-66ee-4757-9094-793845ab538f,-580000.00,2024-11-02
bri-a33f5679-2dea-48cb-abd1-c7005752a135,-267000.00,2024-10-31
bri-199b5a94-022a-4450-a949-9e69d85f9c0a,-641000.00,2024-11-02
bri-8a14cdd8-078a-4267-858a-63bd466c0840,-665000.00,2024-11-03
bri-004771ef-2213-44b2-b9d1-7616729e5224,656000.00,2024-10-29
bri-77f7b569-c0e1-4953-83b0-25865207c98c,-583000.00,2024-11-01
bri-b1304ac4-2974-472a-b6f2-b53c82aa9367,-436000.00,2024-10-31
bri-98b57d6f-bceb-49d2-8d63-20b090bd003e,-209000.00,2024-11-03
bri-bd510d92-6945-45c0-9b1a-d4637fe47151,-523000.00,2024-10-30
bri-15d6ef70-3494-4249-be43-9be78608802c,885000.00,2024-10-29
bri-9b23616d-8efa-4685-9679-1f7a36817bac,-937000.00,2024-10-31
bri-5f2a861d-b0c7-421a-a77c-90ce9c09568d,29000.00,2024-10-28
bri-7772a62e-bfb1-4350-8da6-65e7ab284736,-285000.00,2024-11-03
bri-5fa2dfb7-8084-4047-8ab6-d8a7641c0849,271000.00,2024-11-01
bri-81d67d56-a2b7-433a-a4d8-775539bbd1e7,683000.00,2024-11-01
bri-fbd4bd76-c4ca-47ab-9c2d-78ca25ba4a83,-603000.00,2024-11-03
bri-09bc990f-5c53-48e4-8106-e3726bea98fd,-330000.00,2024-10-29
bri-b447420b-5837-4871-bb4f-9ba7bdf25ec6,596000.00,2024-10-28
bri-d2e55ae5-f0a2-49d7-9e7a-c658c326093e,-114000.00,2024-11-02
bri-6950b754-a645-456d-b5b9-70f4ac1f5000,525000.00,2024-11-03
bri-19708ff5-9e65-4610-b9c0-ed0a0d71dca4,-54000.00,2024-11-01
bri-6d8d60ed-adf7-4168-a3de-f96eec4caf2a,806000.00,2024-10-29
bri-8a54f6d4-03b9-49b5-b464-e4185fefdb4d,-291000.00,2024-11-02
bri-743d8b7c-8331-48d9-8260-3f53ed370c4f,959000.00,2024-11-01
bri-693bb23f-93e8-4333-992d-01cf9286c34f,-104000.00,2024-11-02
bri-3f09702f-aca2-4f0b-ae32-9904588429ea,551000.00,2024-10-29
bri-f53416c2-7ecc-45d5-9e8f-e8f792928a1b,433000.00,2024-10-30
bri-52b3169d-01f1-4ecd-ad04-d0665f35a3af,855000.00,2024-10-28
bri-c20db21e-8b13-4d6a-aec3-27cb43d7824b,-553000.00,2024-11-02
bri-2b1a2ebe-4de4-47d2-a8de-7639ac4513ba,995000.00,2024-11-03
bri-4111de43-ab60-4461-9355-bc08e7b5d231,462000.00,2024-11-01
bri-a7b4b0bc-906d-4fb6-befe-f6b1ec552808,844000.00,2024-11-02
bri-9628663f-fa7d-4dcb-9ce3-a1fdf5bae683,-376000.00,2024-11-03
bri-15abb99d-084c-4f87-ad52-cb758f4182a9,-464000.00,2024-11-03
bri-4aa63996-dc54-4ca2-8abf-70eadb84a305,110000.00,2024-11-01
bri-47b972db-e41c-4d4f-abde-59308364e298,-448000.00,2024-10-29
bri-0412f0e2-0198-4abe-a256-53c43b4d85b8,667000.00,2024-10-31
bri-a4e6efdf-2fb9-45f9-a043-31bee14463c2,-743000.00,2024-10-29
bri-dabfd2c5-613c-45d0-9db7-aafeb5262de7,-240000.00,2024-11-01
bri-701d2910-f956-47d4-b73e-291b23e0ac24,69000.00,2024-10-29
bri-16a9134b-f88a-4965-991d-46e62f5b0de6,742000.00,2024-10-28
bri-de189428-b353-46b4-9e28-e9ce1c834611,330000.00,2024-11-03
bri-cc77647f-4f0c-4ad6-9218-29bc8436dc62,462000.00,2024-11-01
bri-a4dfec75-68f0-4208-ad77-b0cd84ab1738,-23000.00,2024-11-01
bri-02083886-8ea2-4174-9728-4e44e26f77bd,344000.00,2024-10-31
bri-5309e559-1e19-45fe-9f67-6f0f4a2aded2,-17000.00,2024-10-28
bri-c0fae578-d8c1-4cc8-8b1a-8740225aabef,86000.00,2024-10-28
bri-b72c145d-51b0-442e-ab1f-ac522ceb974f,625000.00,2024-11-02
bri-df819400-9e56-488a-bae8-f0c2a7f46741,470000.00,2024-10-28
bri-a14dd668-011a-4b15-aacc-5fe19a07d2c8,835000.00,2024-10-30
bri-09d3feb0-4a94-440f-b6c5-ff3e34ce096d,-99000.00,2024-10-31
bri-ef1c569e-cc0c-4b7d-9d72-8f3d8783b108,121000.00,2024-10-28
bri-ab4e681b-365c-4b7e-aac6-1aee417e6c1c,-862000.00,2024-10-29
bri-7e228949-7ab4-4f1b-89cf-21459e8d09e5,-892000.00,2024-10-28
bri-a4a08fe7-0291-4693-975b-e5acba253fcc,-93000.00,2024-11-02
bri-f3ead266-f0dd-45d8-bc03-371c716c1a65,-856000.00,2024-10-30
bri-33a96bdd-64be-42d5-a58d-08f8089b6856,-737000.00,2024-11-01
bri-e1901476-2299-4ee4-a697-49352a9cc7ba,417000.00,2024-10-30
bri-8cac2003-179d-4eda-99f8-ddcf9906f86f,-420000.00,2024-11-01
bri-35e7056a-6d34-4f2c-bfe2-82e8a0aea4b0,979000.00,2024-10-28
bri-dc77aaaa-7784-4491-a348-b5d3125251d5,-367000.00,2024-10-28
bri-2ac89091-8fe7-45e6-a2ee-c3983f3e36d9,173000.00,2024-10-30
bri-a9f14f6e-a9a0-4049-92c4-d649ca3b38b9,39000.00,2024-10-30
bri-6864ec27-c2bf-45d6-970e-9a33887d0717,-747000.00,2024-11-03
bri-60f7ffb6-8d9b-452a-a48d-ca0fd9ff9209,971000.00,2024-11-02
bri-200b742d-275c-436f-8551-e9138fecd3de,56000.00,2024-10-30
bri-b42b9f82-ee59-42dc-83a8-a539713c576f,-296000.00,2024-10-31
bri-b94cf316-f9ee-4016-a507-21c6044a75d1,922000.00,2024-10-30
bri-0af0372c-393f-4cf4-9e74-caa9cfbd0a6a,-219000.00,2024-10-28
bri-a2dc7c59-749e-4a1d-9835-0b78b1743cdb,-556000.00,2024-10-30
bri-df62129b-b4fe-481d-87a8-84c658bf69c9,36000.00,2024-11-01
bri-9e31c993-5439-4b86-883c-d8ebb4fe1966,790000.00,2024-10-28
bri-41b4064f-3b50-4cf5-976b-5c824b9332f1,824000.00,2024-10-28
bri-f2774830-f81d-4cd1-886f-30932f8cb871,-950000.00,2024-11-03
bri-4183d72a-e290-4293-b9f6-55e727878b14,722000.00,2024-11-02
bri-1024746f-8573-45d3-84d8-7a1dd5d8da19,764000.00,2024-10-28
bri-db1f561c-a5fb-4144-99da-c265a2abafdc,-348000.00,2024-11-01
bri-4d6fcfb8-da14-45d6-a2fe-f1f141c966a8,-420000.00,2024-10-31
bri-97e6dc32-e5dd-4c05-b083-b246b312ff48,177000.00,2024-10-30
bri-7a8ac014-cbba-4d1c-a21d-2f4bee4f7070,-455000.00,2024-10-29
bri-a6c443d8-7a63-45dc-aac8-183cae6b425a,85000.00,2024-10-30
bri-5447efce-02ac-4400-9f55-bbed86a1d1fe,923000.00,2024-10-30
bri-c8fd9d71-a5f6-4356-9f19-49b7d587e806,-295000.00,2024-10-31
bri-6da28f96-a341-4808-8bdf-7e14d17fe230,-957000.00,2024-10-29
bri-a575beca-27ee-47dd-9597-ba18942f1c59,-68000.00,2024-10-30
bri-a5e6f210-2623-4b64-8d08-1b91c44da89c,-123000.00,2024-10-31
bri-649bb19d-7953-429c-9119-925da513a207,171000.00,2024-11-03
bri-b72447e5-45f0-4be9-a63c-33d347fbc25d,-962000.00,2024-11-01
bri-114bce1d-1c3e-4e0e-b91f-dbd800b79023,-970000.00,2024-11-02
bri-44195093-8c2f-416a-bc34-550e31d91dd3,769000.00,2024-11-01
bri-d5281c96-5f8f-4fef-b562-23c748e43db2,-88000.00,2024-10-31
bri-7ada4553-675b-447d-8fb1-99d2b0467c75,-663000.00,2024-10-28
bri-d88408f2-10d3-4721-93c1-e36e7482280a,-22000.00,2024-11-01
bri-b985e0f7-cb82-445e-8c8f-8405ce4cb815,-548000.00,2024-10-30
bri-cc98517d-0a5b-465f-9159-a0480e22ad91,-78000.00,2024-11-03
bri-b06077e0-6a65-450f-9640-7c0ddb2cf962,720000.00,2024-10-31
bri-5d746d6d-ff93-4ec7-baaa-57e63d8aed60,-491000.00,2024-10-28
bri-3f09fb66-3283-47b2-8adc-a681e9284160,-526000.00,2024-11-03
bri-f1935809-88c6-4ad8-b0a7-5a5ec82e8997,-674000.00,2024-11-04
bri-416c4b8f-b169-45b1-b1ff-80245febc9c1,965000.00,2024-11-01
bri-6fefac20-17f9-462c-b6d9-c0fb49d76226,-193000.00,2024-10-31
bri-f6ab807e-655b-4a65-96f6-fcc148cb443a,-777000.00,2024-11-03
bri-67d0b10b-cd38-4c71-9e5b-a7d26e9b39ee,-516000.00,2024-10-28
bri-b4858e11-12f2-4349-9224-1af07d9282de,-140000.00,2024-10-29
bri-f3bcad84-8add-4b0f-b957-8439dde0df8d,-245000.00,2024-10-31
bri-6d8eed6b-f581-48c4-aa1c-6f15ce6fb7f4,980000.00,2024-10-30
bri-c88b45aa-73bc-4f3c-982d-f5145c24648c,-502000.00,2024-10-28
bri-a3f92281-4ab1-4e09-a491-1763f1866a6f,970000.00,2024-11-02
bri-0a24c7a4-438d-4c6d-9e2b-46a4b987b35c,578000.00,2024-10-30
bri-47f3c597-f4a8-4d17-a5ec-d2e44afa8aa6,501000.00,2024-10-31
bri-0d2aeafd-8e78-4ad3-9b1d-5b9a557dc254,250000.00,2024-10-29
bri-321e4eb6-abd6-480a-8379-7906a9b1da02,-650000.00,2024-11-03
bri-3a8a7325-7281-4f2e-9646-731c8db27a50,-437000.00,2024-11-03
bri-07a07b9f-40d9-4769-a3fb-161a096ee68c,585000.00,2024-10-31
bri-d78b0b50-1ce4-4824-9a54-34b4499cdcd7,-884000.00,2024-10-28
bri-8f69302e-1da6-49cc-8707-c69bf3c47e4e,694000.00,2024-10-29
bri-04b5772b-14d5-4f6d-be27-56944568153b,-429000.00,2024-11-03
bri-9c5cbecf-533f-4978-9764-d3486fe9b2db,-258000.00,2024-10-29
bri-8e5d7c3c-80b6-4400-b548-f147f1a05c31,-236000.00,2024-10-28
bri-951d83c1-64e2-4b94-b3df-e1f5c06e0aa9,793000.00,2024-11-03
bri-9859b8e1-c1ba-43a4-8be6-9ea96c88a145,498000.00,2024-10-28
bri-46627018-826a-45f0-bfe3-0c6ce624b316,-893000.00,2024-10-30
bri-34692435-a506-4f97-a7dd-23a174badfeb,884000.00,2024-11-02
bri-459e6d51-584f-4284-8b58-603a9164f196,-502000.00,2024-10-31
bri-2025556d-63b4-4740-ad84-ab8ebecf6c92,122000.00,2024-11-02
bri-4e1b5ac9-4f9c-44b2-a04a-66ed4180f013,826000.00,2024-10-29
bri-9010675e-7a12-477f-825a-5c67a48d6192,992000.00,2024-11-01
bri-dbeb3a7f-2c06-477b-b590-281cccd2b7f7,88000.00,2024-10-30
bri-febb25c8-6561-4669-bd06-44bb3b360c02,-147000.00,2024-11-03
bri-3cc4b8bd-a37d-4a5d-9227-8927557581ad,-36000.00,2024-10-28
bri-af210486-6dff-4f87-8c4a-70bad07e590a,994000.00,2024-11-02
bri-08840029-3312-4960-8892-0c2e2fc1f6fb,-347000.00,2024-10-31
bri-c63a862e-0ebb-46e5-aba1-f784c5301e43,203000.00,2024-10-29
bri-c8904982-1952-4bc9-8ad5-10ef4c871546,-849000.00,2024-11-02
