trxid,amount,type,transactiontime
be740697-93cc-4829-a3db-2a8d23bec827,460000.00,CREDIT,2024-11-01 23:53:19.773889
e770466f-14b7-4fbf-9e4a-a34f3ea89417,440000.00,CREDIT,2024-10-29 01:36:14.773889
1527d037-d044-4abf-a631-281bc333e31e,13000.00,DEBIT,2024-10-31 20:53:35.773889
fa81abb2-8f48-472b-a135-d8f7a2d6a48b,491000.00,DEBIT,2024-10-28 03:51:15.773889
ba1e6950-7a7e-4e88-9dc0-46831fd753a1,202000.00,DEBIT,2024-10-28 13:53:25.773889
88c90fe4-7372-497b-9db7-591de95e0d8c,964000.00,CREDIT,2024-10-29 18:12:39.773889
bc68238a-b502-47ae-8a5c-55091ce9683c,173000.00,CREDIT,2024-11-03 01:06:29.773889
4cbf4f3a-f59a-42f9-9c84-8909653092ab,180000.00,CREDIT,2024-11-01 01:57:20.773889
ef8ec4a3-6558-410e-b881-d30db7fecc78,270000.00,DEBIT,2024-10-31 02:22:48.773889
7724546f-19fb-4ce8-82c2-b2336e4bece4,374000.00,DEBIT,2024-11-03 23:55:39.773889
2481316d-daa8-40c0-a511-b6b2b95666df,604000.00,CREDIT,2024-11-02 03:43:11.773889
8cfd6b67-8356-41b4-a08c-614a8df9a0e4,222000.00,DEBIT,2024-10-31 19:13:31.773889
746ed21a-a115-407f-b753-a9ae6d2ad49f,619000.00,DEBIT,2024-10-28 02:02:34.773889
ca06ce17-5a9e-4874-9112-dc3399ca88f3,434000.00,CREDIT,2024-10-28 08:17:46.773889
6516e8b4-055c-4d16-95d5-0362dfd022d0,820000.00,CREDIT,2024-10-29 22:46:47.773889
b2762a0e-2256-4e01-a35b-7257e61994a0,615000.00,CREDIT,2024-10-30 08:20:29.773889
c6271d24-f0ee-424e-b1fe-2214f57e0246,120000.00,DEBIT,2024-11-01 21:27:17.773889
1f2a1982-f5ff-4a53-b707-42702bdff802,769000.00,CREDIT,2024-11-01 00:19:39.773889
8fd5ccd0-7c26-405c-af06-86c682672777,945000.00,CREDIT,2024-11-03 16:24:59.773889
2cdef443-b7aa-40c4-9385-64c792e6eacf,410000.00,CREDIT,2024-11-01 23:25:32.773889
409b4cd0-8fce-4a18-856b-b857a7a9f661,634000.00,DEBIT,2024-10-28 19:54:04.773889
67f225b1-8feb-448e-bae0-865c60544444,393000.00,CREDIT,2024-10-29 11:47:32.773889
fa295a69-f80a-452e-a193-e716736201e4,440000.00,DEBIT,2024-11-03 17:23:27.773889
5899049b-56c5-4742-a004-3f68d5583a54,12000.00,DEBIT,2024-11-02 01:59:27.773889
e510b30d-34b5-4e70-b001-71b77f7e3811,495000.00,DEBIT,2024-10-31 03:51:48.773889
60a1a5b2-4423-422c-bd25-fe0eaaae6a66,994000.00,CREDIT,2024-10-28 09:40:51.773889
4dc933df-3122-4a40-b42e-31a37767d896,458000.00,DEBIT,2024-11-01 20:41:40.773889
28b9fedf-5c40-43a3-b705-910bb38516aa,18000.00,CREDIT,2024-11-02 19:32:37.773889
1c1f2a51-121e-4277-9a14-4ff5848999c4,668000.00,CREDIT,2024-10-30 15:55:23.773889
642a4ad1-4478-446a-988a-9168a9538672,981000.00,DEBIT,2024-11-01 07:56:15.773889
124ec430-1138-48ed-9fb5-ee7d1521b7e4,497000.00,DEBIT,2024-11-01 00:28:59.773889
30692a21-186d-4a1d-ada1-7cb0ed8d3d66,375000.00,CREDIT,2024-11-03 14:48:16.773889
c60ad749-a81a-47df-9ec6-340d31b1eba5,414000.00,CREDIT,2024-11-03 11:00:28.773889
bd9e0bf5-ed02-498a-9f25-7b76cb2dbc44,585000.00,DEBIT,2024-10-30 21:02:40.773889
be8889a1-aa69-4b27-adb5-06f1a94a4068,989000.00,DEBIT,2024-11-03 21:54:28.773889
31e927cd-4a2e-48e6-a6ee-3566730d9563,779000.00,DEBIT,2024-11-02 01:00:18.773889
fb0f675f-261b-44a3-87d3-69f90ddd77db,300000.00,CREDIT,2024-10-29 02:40:51.773889
d25d2274-5e69-430e-8216-57106e90cd53,768000.00,CREDIT,2024-11-02 18:00:36.773889
553eda1a-67c6-45d5-89f6-999f9e801b1c,703000.00,DEBIT,2024-10-31 13:37:52.773889
2282e1c2-98f5-4efe-ae99-b01913e83266,263000.00,DEBIT,2024-10-28 06:01:04.773889
085643d8-d97c-4320-9ca5-db27421a1c7c,130000.00,DEBIT,2024-10-30 03:32:03.773889
29a61926-f6fc-4e9e-94f2-a3168cdd2dd6,636000.00,DEBIT,2024-10-31 17:06:51.773889
1b0ebc3e-7351-42d9-bf5d-952ff19b04dc,860000.00,DEBIT,2024-11-02 04:14:25.773889
7e1a3296-8b71-4258-af80-cb02b086e94b,126000.00,DEBIT,2024-10-29 13:42:16.773889
685a8e40-7070-44ba-a1e8-dda2b720e8b3,736000.00,CREDIT,2024-10-30 17:31:02.773889
708d1ac7-758d-40aa-933f-06fdb4e8cc18,568000.00,DEBIT,2024-10-30 02:58:13.773889
d141128d-e1c5-45eb-84a7-7cc643e58830,83000.00,CREDIT,2024-11-03 15:54:14.773889
3462abca-0c4a-43fa-90c3-22268d0b63a2,158000.00,CREDIT,2024-10-29 08:04:21.773889
0ca8025d-6a0d-47bc-b7b0-065449829259,780000.00,DEBIT,2024-11-03 13:27:11.773889
98ab0331-b1c3-4953-9303-c9043626afda,583000.00,CREDIT,2024-11-01 23:09:15.773889
39469a04-635b-4e54-a915-89d6c6c13395,436000.00,DEBIT,2024-11-03 20:01:21.773889
4b67411e-69de-44ca-bd95-52d0ca716742,129000.00,DEBIT,2024-11-01 02:44:09.773889
985654d8-8942-4a1d-8d1b-aee985da3cf3,906000.00,CREDIT,2024-10-29 08:58:24.773889
08c916b0-ffd8-4a08-8563-02ca2a1cd3d1,183000.00,DEBIT,2024-11-01 15:37:51.773889
bb9bd6e5-8bc0-4aee-b310-fd128d92bbba,385000.00,CREDIT,2024-10-31 22:42:25.773889
5b5a223d-f19d-4fc1-bdfd-baffcf93907c,413000.00,CREDIT,2024-11-03 02:48:52.773889
97d39b8d-ecf9-45cb-885c-8c5ffd7bdeaf,267000.00,DEBIT,2024-11-02 19:36:17.773889
034a53b6-c3f8-41a8-85eb-1803ad4575e5,105000.00,CREDIT,2024-10-31 05:07:53.773889
39703ed3-b92a-4b90-8974-121e1c39a2af,570000.00,CREDIT,2024-11-01 07:46:47.773889
608a307f-4f9d-42b9-8076-9422a1e1de0b,836000.00,DEBIT,2024-10-29 05:44:42.773889
26e35c46-b4aa-4ef4-8c18-308bf2bced90,412000.00,DEBIT,2024-10-30 22:06:15.773889
98b58def-b11c-47e5-b67c-29b7493eb43f,132000.00,DEBIT,2024-11-01 02:42:09.773889
bbc78422-e72c-4376-a58d-da1298aa2e56,708000.00,CREDIT,2024-11-03 03:08:35.773889
6e52a875-de72-46eb-a378-7cd3e661a27d,109000.00,DEBIT,2024-11-02 01:50:47.773889
1a38454b-e915-4143-bbb4-11ba204a804b,336000.00,DEBIT,2024-10-31 15:18:08.773889
00298d1a-2fcb-41f2-bcd4-1175e38c68a2,764000.00,CREDIT,2024-10-31 18:22:36.773889
a23e1f53-b94b-440a-9dce-6aee3d6cf5d2,822000.00,CREDIT,2024-10-28 08:30:37.773889
e29ec7d5-c47b-4a69-af44-45a6f52cf3da,493000.00,DEBIT,2024-10-31 20:52:05.773889
b51b8c78-f081-495d-889a-cb15c9d33b62,803000.00,CREDIT,2024-11-03 22:40:40.773889
3fe09abf-6e9d-48d2-86d1-ef65b267522b,258000.00,CREDIT,2024-11-02 22:18:47.773889
45e7c52d-51d9-4177-8c19-21d52b509f04,745000.00,DEBIT,2024-11-01 15:08:04.773889
4caf03d7-ca9e-4b29-a088-9037151f98e8,360000.00,DEBIT,2024-10-30 19:51:39.773889
d14babea-f94b-491c-9748-a59ef51d0859,441000.00,DEBIT,2024-11-02 05:49:08.773889
04d909f5-0009-40a3-98c4-2b272281e1e7,684000.00,DEBIT,2024-10-30 00:12:24.773889
6e68e31f-3fa1-44f2-8ffe-86edd8444a04,450000.00,CREDIT,2024-10-31 12:46:24.773889
783f0a81-e01b-444e-b634-30bdd99f5930,487000.00,DEBIT,2024-10-30 05:40:52.773889
a1274aaa-e7fa-4d5f-b9d4-29db18e52841,153000.00,CREDIT,2024-10-30 00:56:38.773889
9c3eabc3-c2fe-4b48-b253-18c41bd4dc25,60000.00,DEBIT,2024-10-29 15:09:00.773889
af6b6cea-6044-4c68-a22c-80173b59af2c,682000.00,DEBIT,2024-11-02 22:04:14.773889
bbf3464e-a9ec-4b96-957d-f57372644255,397000.00,CREDIT,2024-10-29 20:19:30.773889
9a67618c-79ad-40f4-b521-009c2a30e092,321000.00,DEBIT,2024-10-29 12:06:28.773889
2401760b-d41c-453e-a9c3-54c552420a73,309000.00,DEBIT,2024-10-28 18:20:05.773889
33eb097c-9b93-4acf-92eb-c16c17a4475b,714000.00,CREDIT,2024-10-29 17:44:11.773889
b916ffb1-c4d9-4092-a302-536b3e07698a,591000.00,CREDIT,2024-11-03 02:09:26.773889
bb94abec-009e-4be8-b1dc-47c97db5f24b,137000.00,CREDIT,2024-10-29 03:39:56.773889
9e7ed3f0-f421-47a7-b131-c58776b190ba,783000.00,DEBIT,2024-11-03 14:23:25.773889
57ef4c6e-1b31-423d-98d9-d933e094562b,283000.00,DEBIT,2024-10-31 04:28:57.773889
22126665-66bb-405c-863d-d99fe3992572,478000.00,CREDIT,2024-10-28 21:44:55.773889
f6299263-5d25-48b4-acff-2b114130eb79,711000.00,DEBIT,2024-11-02 15:30:21.773889
f919e4e3-0109-4e0c-8ea7-be74b10a10be,763000.00,DEBIT,2024-11-01 10:32:02.773889
5aceec90-5aa5-4c05-9234-a936e6af3416,87000.00,CREDIT,2024-10-28 09:11:37.773889
d1afb479-9de0-41c4-bb4f-589d14dd96a2,681000.00,CREDIT,2024-11-01 20:25:56.773889
00608c76-4f91-4416-99d4-f3aee90271a2,903000.00,DEBIT,2024-10-30 06:55:22.773889
26cff951-40cc-4ead-a8a4-dd19f29d975f,598000.00,CREDIT,2024-10-28 04:06:48.773889
dd9da2ad-9717-41d3-aa05-a34aba34bcf6,407000.00,CREDIT,2024-11-04 00:48:33.773889
dab0fe40-8234-4506-9228-bad86c2e89d7,32000.00,DEBIT,2024-10-29 16:41:21.773889
420dbbaf-3a5f-444a-8791-4af0d6f7bfbb,898000.00,DEBIT,2024-10-28 17:19:39.773889
9ea6daeb-1f46-4e1b-b0dd-a2f56f6f1dd4,306000.00,DEBIT,2024-11-01 00:16:52.773889
1a0aea97-8bae-4b12-969e-b5512997ca68,111000.00,CREDIT,2024-10-29 04:50:59.773889
b5c7a0ea-0759-400e-b932-fbd9fc6d8ecf,838000.00,DEBIT,2024-11-02 09:15:06.773889
eb866567-9ef1-48b6-a6aa-35d4861b10f8,775000.00,DEBIT,2024-11-02 12:06:40.773889
2a53dd43-86d3-4e43-86a6-d64776b52d6b,923000.00,CREDIT,2024-10-30 03:33:11.773889
cb4874ff-ed93-4923-b28a-f5df1adbfece,116000.00,CREDIT,2024-10-31 00:48:35.773889
d7f09f26-2626-4bc3-967c-7b91fa264920,462000.00,CREDIT,2024-11-01 00:50:23.773889
bfe7f192-b372-44c8-acd0-b32d67a304f7,22000.00,DEBIT,2024-11-01 02:00:46.773889
cd33b61c-8d5e-402f-b61e-86539ede1578,940000.00,DEBIT,2024-10-31 16:17:15.773889
d6af3c51-3938-42bc-b974-b5811a81746f,807000.00,CREDIT,2024-10-28 02:41:48.773889
4cf86997-9a1f-4297-bce0-ea33f68d480b,510000.00,DEBIT,2024-11-02 20:13:19.773889
4a2c66e2-b510-41bb-8879-ebf0bc0312a5,175000.00,CREDIT,2024-10-31 20:07:51.773889
7cfc8882-2b12-4bf9-b6e3-84d75411d376,255000.00,DEBIT,2024-11-01 20:38:15.773889
59182819-c1a5-4c3a-b3f2-cd85a727d645,223000.00,CREDIT,2024-10-31 07:32:11.773889
a96851d3-4060-456a-af64-9aff8612a72c,987000.00,CREDIT,2024-10-28 13:34:06.773889
b4fbdbbf-48c9-4bb9-8400-b2fdb3f397f9,873000.00,DEBIT,2024-11-03 05:47:47.773889
3a8dae3b-fbcb-44c4-b78b-727d9f4687d5,17000.00,CREDIT,2024-10-30 09:11:19.773889
0b47c9ed-dd66-474b-9736-7bca50ffcf64,235000.00,CREDIT,2024-10-29 06:05:15.773889
cf599b3a-29ac-4da2-9f02-d0eb942835fe,306000.00,CREDIT,2024-10-30 13:49:52.773889
3ca04551-4d2f-45c9-8924-0b2354cbf27b,341000.00,DEBIT,2024-11-01 20:26:40.773889
bc2ae2dd-9970-41a2-9632-c39e00ad4981,122000.00,CREDIT,2024-10-28 19:26:17.773889
3ad53aba-ff5a-46f9-b1df-493f0124e5cd,591000.00,CREDIT,2024-11-02 07:07:43.773889
9d11b32f-7a41-470b-90ef-cc8dc37c6026,22000.00,CREDIT,2024-11-02 11:35:05.773889
bb93d9dc-2a57-4fff-bb51-2d52e5265834,84000.00,DEBIT,2024-10-31 18:59:38.773889
14a7a59c-7854-4c65-94d1-e3b1a8329899,887000.00,DEBIT,2024-10-29 07:15:02.773889
137b9e43-a489-4c6b-a9d3-5e8849408f43,994000.00,CREDIT,2024-10-28 05:51:31.773889
2c9595ee-1ca1-4047-8604-6dcba4d97e4d,226000.00,CREDIT,2024-11-01 11:08:36.773889
47de130a-1694-4fef-a059-d7b67869148d,10000.00,DEBIT,2024-11-03 17:13:04.773889
c9cdf66b-330d-4753-a202-15d3017f42a5,292000.00,CREDIT,2024-10-29 05:48:30.773889
80d90808-67d1-43c0-be8b-58075a6bf0c6,556000.00,CREDIT,2024-10-30 00:58:10.773889
05989d0a-eafa-4390-bb13-d35d0b392410,7000.00,DEBIT,2024-11-01 12:43:01.773889
1e08715b-1856-4e9f-8406-bb0be0e6ac0f,255000.00,CREDIT,2024-10-31 00:17:15.773889
b260a928-5e76-4da9-ad24-eb5e52061176,76000.00,CREDIT,2024-10-28 04:23:04.773889
142f13f3-87af-4714-8e68-f33f0e4ce00d,560000.00,CREDIT,2024-11-01 02:30:47.773889
84561d84-72a1-4af3-a6c3-1a28ffb55fbe,450000.00,DEBIT,2024-11-02 10:01:21.773889
2a433726-e701-4433-83fd-4145266db3fc,32000.00,CREDIT,2024-10-28 18:17:34.773889
cc8f0db0-48ca-45b4-b56e-2603a5418153,175000.00,CREDIT,2024-10-30 05:24:16.773889
e75c1122-1b15-47b6-bb15-bd5323320b3a,964000.00,DEBIT,2024-11-02 02:20:18.773889
1a549e71-dfc7-4cb9-86d3-19b700b0c694,890000.00,CREDIT,2024-10-31 12:32:04.773889
317fe3b8-a390-4c1d-9322-b479eb3ab58b,260000.00,CREDIT,2024-10-30 07:58:34.773889
4504109d-2c83-48f6-9aab-a16cef1f8049,471000.00,DEBIT,2024-11-02 22:13:56.773889
b2550bec-806c-4501-bdec-7bd78edb04d9,876000.00,CREDIT,2024-10-30 17:01:39.773889
f4c112c2-d9bb-4c25-8459-c86512f12860,204000.00,CREDIT,2024-11-03 23:56:00.773889
80fd8608-4361-49c2-9c93-e3e1ffc738e4,925000.00,DEBIT,2024-10-30 08:33:21.773889
6ff560c9-d44c-48ec-bbd5-38175d6b805a,984000.00,CREDIT,2024-11-01 02:49:06.773889
f9f7f683-0e79-47fa-b435-5b32ac080a05,597000.00,CREDIT,2024-10-30 05:46:51.773889
dc207319-2b73-4b2e-857e-a43739ab1557,844000.00,DEBIT,2024-11-03 07:13:23.773889
e3077273-1d76-4ee4-b96b-315981683430,37000.00,CREDIT,2024-10-30 03:48:41.773889
45c49982-5d39-4ccf-b590-7bfca2e823a5,129000.00,DEBIT,2024-10-31 06:38:55.773889
9249e7f5-1b6c-48e8-b803-c9378ce83a1a,108000.00,DEBIT,2024-10-30 06:45:29.773889
803a9dde-2ca5-431e-b410-384883736fe1,578000.00,DEBIT,2024-11-02 04:09:46.773889
7a5964fb-389a-4e1d-9e23-075f5554c92b,503000.00,CREDIT,2024-10-31 13:36:16.773889
1d7b2e37-b1a6-451b-931c-856803071f42,183000.00,CREDIT,2024-11-03 04:17:42.773889
d0b60179-e3fb-441a-9de2-5b6d276b5ba6,543000.00,CREDIT,2024-10-31 02:29:57.773889
0daf2831-e3e9-4c54-8ce7-36c18b1ce322,955000.00,DEBIT,2024-11-02 08:57:38.773889
50bb6dc8-efa4-4781-b7bb-fa5ae3bd56f8,480000.00,CREDIT,2024-11-01 14:37:38.773889
0a290d3a-5823-4a45-b5f0-06821536b8ee,15000.00,DEBIT,2024-10-31 07:32:14.773889
aef6d970-192f-48ee-9b6a-52a293461b0e,90000.00,CREDIT,2024-10-28 11:52:17.773889
b72559e0-787c-4469-bc14-9708a09fe7a7,575000.00,DEBIT,2024-11-01 05:36:10.773889
3161578f-217c-485f-83d9-7d36796bdfaf,517000.00,CREDIT,2024-11-03 06:07:31.773889
cc28a9cd-d890-4813-8adb-5bea9c84b49b,414000.00,CREDIT,2024-10-28 19:35:41.773889
b7344704-4f65-4d55-a916-e12d731608b3,329000.00,CREDIT,2024-10-29 15:42:12.773889
9cb2fa85-5ed0-4bd3-80bc-93a80a7d37a6,940000.00,CREDIT,2024-10-30 17:19:05.773889
fd63803a-208f-446b-914a-48013f850d28,100000.00,CREDIT,2024-11-01 21:18:26.773889
c71a0341-4c6a-45bf-9b41-7c8cd90a5819,631000.00,DEBIT,2024-10-29 00:22:27.773889
11c466b3-fb7b-4f87-ad93-949f66561c7c,526000.00,CREDIT,2024-11-03 03:46:12.773889
285af87a-b5a7-41b3-aba3-dbb2e1dec83a,474000.00,DEBIT,2024-11-03 08:00:30.773889
543828a6-a9e4-4171-a6ba-4fe10a9af424,382000.00,CREDIT,2024-10-28 03:33:52.773889
688355a9-3fa6-42fe-b3fc-10893f7e4ae8,353000.00,DEBIT,2024-10-30 12:19:06.773889
a8d7bc81-e887-4fdc-81a3-64b1c56a2f29,580000.00,DEBIT,2024-10-29 09:26:59.773889
53c6ce9d-d2c4-472a-a2b9-9546b01d5222,374000.00,DEBIT,2024-10-31 23:39:50.773889
a153e96d-f8e6-49cc-a521-4d5002452b0a,356000.00,DEBIT,2024-10-29 15:52:51.773889
303f6197-aa26-4c25-bc5a-51075ae1493f,117000.00,DEBIT,2024-10-28 11:44:47.773889
f642f6d5-1061-4845-b2fe-0a14b18d24eb,616000.00,DEBIT,2024-10-28 05:50:04.773889
970845a5-e78e-4edc-b6b0-df35a8f23a15,441000.00,DEBIT,2024-10-28 04:08:47.773889
715a7a05-df2a-46a2-b1fd-23e3bc516901,285000.00,DEBIT,2024-10-30 20:23:07.773889
03ea8b53-db5e-4f9a-88a2-2acadae5baa3,779000.00,DEBIT,2024-10-31 12:58:32.773889
d7f53f67-5edc-45cc-86f0-8d3fde2d7950,547000.00,CREDIT,2024-11-02 22:03:00.773889
fb80fff7-271b-4be3-9752-2e249fcc6877,755000.00,CREDIT,2024-10-29 01:33:50.773889
999c17a0-df9f-4fce-bb16-230fd645164c,929000.00,CREDIT,2024-10-30 13:00:15.773889
61afc37b-0c32-4365-af66-59a9303c7cbc,966000.00,DEBIT,2024-11-02 10:51:01.773889
10543395-c4ba-4d44-a82c-a646513899ed,45000.00,CREDIT,2024-11-03 22:34:39.773889
4088c16c-0a98-4b4f-903d-6d618fa57622,257000.00,DEBIT,2024-10-29 18:34:23.773889
b33584c1-c699-434d-bb7b-254322da32ae,991000.00,CREDIT,2024-11-01 16:12:53.773889
adf2295d-2945-45c1-ad53-407aaf630958,85000.00,CREDIT,2024-10-30 12:42:57.773889
d7ff508c-0f9a-4ac3-9123-bd142bd58624,722000.00,DEBIT,2024-10-29 17:03:52.773889
c3444061-4a22-49f7-ae42-b40b9bb6df05,830000.00,DEBIT,2024-11-01 22:01:00.773889
d57b78e3-b3aa-44f2-8168-2f37707895fa,995000.00,DEBIT,2024-11-02 08:49:08.773889
b35dcf1e-7d44-44c9-adf8-92c52d79717e,915000.00,CREDIT,2024-10-28 20:42:09.773889
546d9b5b-43e9-4b51-99cc-5f75c8281e11,84000.00,DEBIT,2024-10-31 20:18:29.773889
8d68f5bd-07bb-4bc7-9fb1-bb030a07ac20,609000.00,DEBIT,2024-10-29 22:30:09.773889
35c211aa-3d37-413f-a811-2445c9d5395b,16000.00,DEBIT,2024-11-01 16:06:39.773889
4df3888a-85eb-465a-ab6f-ed07f53dfa18,3000.00,DEBIT,2024-11-01 10:32:23.773889
8bfffbd5-6726-4fee-82fa-c3f4a304cf2b,394000.00,DEBIT,2024-11-01 09:41:50.773889
31102772-d5b5-4759-bb62-0e01ba1208e8,255000.00,CREDIT,2024-11-01 09:15:09.773889
ca97f4fe-a5fd-4789-b55e-819c0c9eb91f,795000.00,DEBIT,2024-11-02 21:04:32.773889
adddba22-14d1-42ef-8e31-49a8a5e58f82,705000.00,CREDIT,2024-11-02 22:51:57.773889
34d05227-7e34-47a4-b97d-f4274766d2e5,509000.00,DEBIT,2024-10-30 07:41:18.773889
e77f140f-4516-4cba-8c2b-cdfa6384ceb5,809000.00,DEBIT,2024-10-31 21:44:04.773889
7ab2c4cf-bec7-45bd-8ae9-d51664db6f88,56000.00,DEBIT,2024-11-01 11:43:41.773889
818dd179-b2d1-4789-8d7b-1a4ee6524f1c,786000.00,DEBIT,2024-10-28 22:58:36.773889
00c862d0-3489-4966-9619-5057a19ad61a,372000.00,DEBIT,2024-10-31 10:19:39.773889
4f3fa52d-41e2-4b39-aa32-d4b13b9a7ab8,250000.00,DEBIT,2024-11-02 12:44:46.773889
3117e179-951a-4687-8ef9-72e8b1d481ea,829000.00,CREDIT,2024-11-02 16:01:40.773889
3494697b-bb25-4527-b2a2-ac232b8f7374,891000.00,DEBIT,2024-10-29 12:45:24.773889
150b65aa-e7d7-45c2-9631-157ffc841f49,330000.00,CREDIT,2024-10-28 23:37:01.773889
e8bb0741-d03f-4eb0-bc8b-99e1e07a58b3,971000.00,DEBIT,2024-10-31 00:08:39.773889
8bf84452-7c5d-4809-ab77-7608ee0927b4,997000.00,CREDIT,2024-11-02 03:23:48.773889
4fb9cfcb-0614-4239-a7df-f2c962c57247,824000.00,DEBIT,2024-11-02 12:28:01.773889
56f1cce6-524e-467f-81bd-67623eda6c04,778000.00,DEBIT,2024-10-31 14:41:57.773889
a725f079-0574-49f3-a8e5-3bf567faa1f5,589000.00,CREDIT,2024-10-29 03:39:40.773889
07339685-2473-4e66-aad4-e89ea8bb4bbc,164000.00,CREDIT,2024-10-31 20:03:48.773889
50fdbc0f-83d1-405e-b0fc-2529feb6bb12,148000.00,CREDIT,2024-10-31 10:27:14.773889
89206eb3-db40-43ed-9b00-3adddc88f562,21000.00,CREDIT,2024-10-28 09:28:23.773889
325bc289-9980-4ab4-8c71-2b25b6eb4259,245000.00,DEBIT,2024-11-01 02:49:48.773889
a603f383-b64e-4794-a6e7-1d959c359240,223000.00,CREDIT,2024-10-28 21:26:32.773889
6f5734b2-f289-4c70-a6aa-ee5f47ddf59d,277000.00,CREDIT,2024-10-30 18:10:04.773889
f417b86a-cf60-4fc7-ba3e-fc30dab157f8,962000.00,CREDIT,2024-11-02 00:29:46.773889
c6f076f4-7345-4643-ab5c-e84b1c1451da,997000.00,CREDIT,2024-11-01 14:26:41.773889
dba97337-d244-4409-92e2-d524e7ff0add,457000.00,DEBIT,2024-10-29 17:18:54.773889
082e322b-cceb-4603-8fe4-c855e390ec28,602000.00,CREDIT,2024-11-03 19:13:27.773889
72ef3a88-e9b1-4478-976b-8e7a26328d54,765000.00,CREDIT,2024-10-30 16:31:52.773889
e0e14ceb-a76a-4868-b0b4-eff014aac4b0,586000.00,CREDIT,2024-11-03 07:41:35.773889
c2b87e2b-cfe8-42bd-bc76-72b749386581,997000.00,DEBIT,2024-11-02 00:22:02.773889
3a087b04-31cd-495b-9a96-656b2cae02cf,150000.00,DEBIT,2024-10-28 09:20:31.773889
5fe40d78-f367-407a-a711-a119414de6c8,27000.00,DEBIT,2024-11-02 23:58:03.773889
380b9a35-aabf-45f4-bc1f-546640136b59,375000.00,CREDIT,2024-10-29 23:09:38.773889
a18d9371-8999-4c34-831b-41c880cbc09b,862000.00,CREDIT,2024-10-28 09:36:53.773889
